id,beta,debt_ratio,liquidity_ratio,base_reserves_begin,market_price_begin,user_a_position,liquidate_price,user_b_position,market_price_after_b,profit_loss,profit_percent
138,0.8,10000,0.14,"(36649871750740971435566, 3053950989251, 1645078758)",83.32774013565972,"(-513787780903230835915, 46837000000, 571407780903230835915)",89.03893501015577,"(21764351174237225646153, -149785000000, 1764351174237225646153)",89.03475668928105,4.23465514363615,
139,0.85,9999,0.01,"(36649871750740971435566, 3053950989251, 1645078863)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.22233331412572,"(21850644422544987120608, -162208000000, 1850644422544987120608)",92.21768988447901,0.08496741799614167,
140,0.85,9999,0.02,"(36649871750740971435566, 3053950989251, 1645078923)",83.32774013565972,"(-72494256122461290678, 6691000000, 80554256122461290678)",91.97071887854842,"(21843337715742695533265, -161170000000, 1843337715742695533265)",91.96611544299016,0.1307161497495071,
141,0.85,9999,0.04,"(36649871750740971435566, 3053950989251, 1645078983)",83.32774013565972,"(-145283043603770755683, 13382000000, 161463043603770755683)",91.45879739039044,"(21826729968633912337925, -158923000000, 1826729968633912337925)",91.45428411126812,0.3872480553459004,
142,0.85,9999,0.06,"(36649871750740971435566, 3053950989251, 1645078983)",83.32774013565972,"(-218368708124272618852, 20073000000, 242728708124272618852)",90.94808691793057,"(21809888903154934130739, -156672000000, 1809888903154934130739)",90.94365423221352,0.8651341714019668,
143,0.85,10003,0.08,"(36649871750740971435566, 3053950989251, 1645079043)",83.32774013565972,"(-291753616102966811686, 26764000000, 324353616102966811686)",90.43858952652745,"(21792811540771287376916, -154417000000, 1792811540771287376916)",90.43422771409885,1.4553348014544307,
144,0.85,9999,0.1,"(36649871750740971435566, 3053950989251, 1645079103)",83.32774013565972,"(-365430154927210230756, 33455000000, 406340154927210230756)",89.93279021671779,"(21775983677696333961307, -152202000000, 1775983677696333961307)",89.92849957630189,2.48888930950421,
145,0.85,9999,0.12,"(36649871750740971435566, 3053950989251, 1645079163)",83.32774013565972,"(-439410733185477777237, 40146000000, 488690733185477777237)",89.42735613852524,"(21758762548412236513706, -149969000000, 1758762548412236513706)",89.42317353454581,3.6364726501604943,
146,0.85,10000,0.14,"(36649871750740971435566, 3053950989251, 1645079223)",83.32774013565972,"(-513697780903230835915, 46837000000, 571407780903230835915)",88.92265454646702,"(21741198632759345293577, -147723000000, 1741198632759345293577)",88.91853990530662,5.009473920169518,
147,0.9,9999,0.01,"(36649871750740971435566, 3053950989251, 1645079343)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.21273189624802,"(21848835115803571184111, -162041000000, 1848835115803571184111)",92.20810785289487,0.08874060068501029,
148,0.9,9999,0.02,"(36649871750740971435566, 3053950989251, 1645079403)",83.32774013565972,"(-72494256122461290678, 6691000000, 80554256122461290678)",91.95153990147364,"(21839709015458667601069, -160836000000, 1839709015458667601069)",91.94697804694887,0.14603339197372128,
149,0.9,9999,0.04,"(36649871750740971435566, 3053950989251, 1645079463)",83.32774013565972,"(-145273043603770753635, 13382000000, 161463043603770755683)",91.42686506736817,"(21820622368070480403800, -158364000000, 1820622368070480403800)",91.42234517205615,0.44960288543186727,
150,0.9,9999,0.06,"(36649871750740971435566, 3053950989251, 1645079508)",83.32774013565972,"(-218348708124272618852, 20073000000, 242728708124272618852)",90.8992492718989,"(21800471919975707253638, -155815000000, 1800471919975707253638)",90.89482804430465,1.0864199899387572,
151,0.9,9999,0.08,"(36649871750740971435566, 3053950989251, 1645079538)",83.32774013565972,"(-291723616102966807590, 26764000000, 324353616102966811686)",90.37189042434706,"(21779848355187535327401, -153244000000, 1779848355187535327401)",90.36758878265238,1.816585403328082,
152,0.9,9999,0.1,"(36649871750740971435566, 3053950989251, 1645079598)",83.32774013565972,"(-365380154927210230756, 33455000000, 406340154927210230756)",89.85039436071219,"(21759823271649297978369, -150748000000, 1759823271649297978369)",89.84613191261542,2.882646728789637,
153,0.9,9999,0.12,"(36649871750740971435566, 3053950989251, 1645079658)",83.32774013565972,"(-439340733185477777237, 40146000000, 488690733185477777237)",89.32830767671783,"(21739166956514348671373, -148216000000, 1739166956514348671373)",89.3241520692758,4.204843880070417,
154,0.9,10000,0.14,"(36649871750740971435566, 3053950989251, 1645079718)",83.32774013565972,"(-513607780903230835915, 46837000000, 571407780903230835915)",88.80645420372527,"(21718015835393429210094, -145661000000, 1718015835393429210094)",88.80239901955663,6.007974406867286,
155,0.95,9999,0.01,"(36649871750740971435566, 3053950989251, 1645079853)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.20313097820595,"(21847025621128046133356, -161874000000, 1847025621128046133356)",92.19852631915491,0.09251414764188012,
156,0.95,9999,0.02,"(36649871750740971435566, 3053950989251, 1645079913)",83.32774013565972,"(-72494256122461290678, 6691000000, 80554256122461290678)",91.9323629243371,"(21836068692468102338800, -160501000000, 1836068692468102338800)",91.92778535364138,0.16139876536890507,
